"author","repoName","totalStars"
"mbinary / ","USTC-CS-Courses-Resource
","
        11,266
      "
"Microsoft / ","frontend-bootcamp
","
        4,022
      "
"alibaba / ","coobjc
","
        1,982
      "
"rancher / ","k3s
","
        3,501
      "
"remoteinterview / ","zero
","
        2,375
      "
"dreamingechoes / ","awesome-mental-health
","
        713
      "
"artf / ","grapesjs
","
        7,723
      "
"imhuay / ","Algorithm_Interview_Notes-Chinese
","
        17,307
      "
"gpujs / ","gpu.js
","
        7,543
      "
"Micropoor / ","Micro8
","
        9,286
      "
"Snailclimb / ","JavaGuide
","
        26,832
      "
"ityouknow / ","spring-boot-examples
","
        9,215
      "
"LisaDziuba / ","Awesome-Design-Tools
","
        5,281
      "
"toddmotto / ","public-apis
","
        52,369
      "
"deepfakes / ","faceswap
","
        14,825
      "
"cosmos72 / ","gomacro
","
        1,132
      "
"guolindev / ","coolweatherjetpack
","
        281
      "
"weilanwl / ","ColorUI
","
        1,343
      "
"lemire / ","simdjson
","
        5,133
      "
"chiphuyen / ","lazynlp
","
        427
      "
"Luolc / ","AdaBound
","
        1,569
      "
"agalwood / ","Motrix
","
        4,412
      "
"Mckinsey666 / ","bullet
","
        1,388
      "
"CyC2018 / ","CS-Notes
","
        51,269
      "
"pi-hole / ","pi-hole
","
        13,749
      "